"Tissue.ch1","X203232_s_at","X219230_at","X216042_at","X210654_at","X207265_s_at","X212784_at","X203237_s_at","X214272_at","X216136_at","X209456_s_at","X214310_s_at","X210744_s_at","X201532_at","X210577_at","X215233_at","X204776_at","X221589_s_at","X204099_at","X221065_s_at","X215744_at","X201705_at","X209686_at","X216294_s_at","X221726_at","X215807_s_at","X217067_s_at","X206394_at","X217275_at","X204720_s_at","X210153_s_at","X211001_at","X217805_at","X201327_s_at","X203982_s_at","X213865_at","X201118_at","X205108_s_at","X212830_at","X218678_at","X221768_at","X205470_s_at","X217652_at","X201297_s_at","X207927_at","X220385_at","X217574_at","X202099_s_at","X219174_at","X217212_s_at","X205649_s_at","X204519_s_at","X208322_s_at","X202509_s_at","X65521_at","X215813_s_at","X210179_at","X215083_at","X209730_at","X215465_at","X219152_at","X204534_at","X215387_x_at","X210113_s_at","X210552_s_at","X823_at","X221739_at","AFFX.PheX.3_at","X218618_s_at","X207998_s_at","X219398_at","X200010_at","X209947_at","X213953_at","X205831_at","X203522_at","X202549_at","X214850_at","X201936_s_at","X210259_s_at","X216659_at","X211406_at","X221076_at","X205211_s_at","X216210_x_at","X220175_s_at","X213064_at","X208491_s_at","X212142_at","X209721_s_at","X210156_s_at","X216152_at","X216641_s_at","X201914_s_at","X213148_at","X208780_x_at","X221730_at","X208450_at","X211438_at","X206624_at"
"Liver Tumor Tissue",7.297,3.576,3.622,3.435,5.298,5.435,3.711,4.879,3.062,4.546,3.608,3.555,9.254,4.409,3.472,3.443,10.905,4.04,4.112,3.27,7.58,3.359,3.486,9.009,6.954,3.525,3.332,3.805,3.848,5.378,3.198,5.169,7.561,3.869,3.696,5.96,13.11,8.53,5.715,8.07,3.56,3.389,3.935,3.492,3.163,3.381,4.438,4.626,3.542,12.262,4.754,7.821,4.18,4.795,4.597,3.753,4.39,4.483,3.005,3.317,12.637,5.468,4.146,3.509,4.715,7.055,3.9,7.573,4.009,4.372,10.968,5.066,3.448,4.713,6.902,4.294,4.954,6.04,3.261,3.278,3.743,3.123,4.282,7.839,6.475,7.607,3.789,3.722,5.888,6.063,3.895,4.607,7.025,6.302,9.907,6.094,4.225,3.389,3.001
"Liver Tumor Tissue",7.275,3.328,4.02,3.448,5.549,5.397,3.588,4.744,3.073,4.209,3.588,3.254,9.299,4.166,3.497,4.254,8.216,3.597,3.949,3.575,6.993,3.163,3.459,8.503,5.112,3.191,3.522,3.717,3.583,5.41,3.362,5.773,7.749,3.736,3.566,6.027,13.373,7.93,4.73,7.183,3.522,3.407,4.176,3.595,3.282,3.378,4.551,4.746,3.593,12.341,4.116,6.387,5.069,4.806,3.52,3.31,3.958,4.534,3.694,3.547,11.777,4.817,4.126,3.694,3.703,7.957,4.078,9.126,3.629,4.209,10.582,5.844,3.501,4.317,9.541,4.035,4.781,6.864,3.21,3.612,4.008,3.221,4.322,8.371,6.299,7.475,3.591,3.823,5.984,6.254,4.07,4.411,8.131,5.576,10.346,4.919,4.156,3.677,3.234
"Liver Non-Tumor Tissue",7.077,4.794,3.639,3.801,4.882,5.16,3.648,4.721,3.059,5.144,4.299,3.207,9.176,3.555,3.633,3.681,10.572,3.95,3.567,3.197,7.049,3.275,3.526,8.869,7.074,3.56,3.44,3.791,3.264,5.869,3.132,5.611,7.284,3.526,3.694,5.925,12.985,7.819,4.776,8.026,3.654,3.222,4.45,3.163,3.09,3.397,4.192,4.782,3.604,12.666,4.52,7.744,3.873,3.999,3.887,3.448,4.487,4.417,2.966,3.226,12.405,5.014,4.027,3.682,4.28,7.218,3.951,8.75,3.476,4.172,11.266,4.773,3.427,4.629,7.197,3.525,5.177,5.918,3.251,3.499,3.876,3.253,4.125,7.259,6.828,6.944,3.626,3.654,6.305,6.505,3.639,4.458,7.506,5.803,9.882,6.094,4.762,3.495,4.219
"Liver Tumor Tissue",7.554,3.076,3.568,3.308,6.716,4.96,3.399,4.501,3.026,4.259,3.744,3.324,9.007,3.984,4.538,5.425,8.139,3.983,3.526,3.089,8.063,3.371,3.335,9.355,6.548,3.088,3.22,3.651,4.199,6.042,3.365,5.558,8.738,3.391,3.575,8.608,12.325,8.746,5.247,7.567,3.123,3.084,4.567,3.175,3.395,3.198,4.145,3.909,3.462,10.855,4.468,6.78,4.057,4.372,5.462,3.472,4.238,4.39,3.153,4.377,9.716,5.148,4.247,3.373,4.533,7.467,3.467,8.716,3.756,4.541,11.555,5.448,9.567,6.315,6.008,4.147,6.002,6.511,3.338,3.507,4.671,3.128,3.858,7.06,6.708,6.055,3.38,4.241,6.512,7.27,3.851,3.896,7.581,5.898,10.777,6.335,4.875,3.047,3.053
"Liver Tumor Tissue",6.671,3.373,3.947,3.514,5.524,5.295,3.572,4.499,3.306,4.113,3.8,3.233,8.998,4.289,3.412,3.628,10.939,3.854,3.756,3.262,6.997,3.299,3.738,8.742,6.976,3.282,3.423,3.465,4.326,6.487,3.573,5.76,8.927,3.844,3.583,6.36,13.177,7.993,4.838,7,3.551,3.477,4.211,3.621,3.499,3.222,4.209,4.079,3.775,11.722,5.889,8.533,4.246,4.676,3.746,3.342,4.835,4.647,3.352,3.481,13.101,6.231,3.528,3.693,4.462,7.222,4.563,7.417,3.728,4.622,10.874,5.548,3.581,4.906,8.363,6.606,6.354,5.665,3.346,3.223,4.513,3.111,4.58,7.747,6.877,7.55,3.436,3.882,6.091,6.255,3.978,5.675,7.347,6.612,10.613,5.78,5.371,3.421,4.349
"Liver Non-Tumor Tissue",7.493,4.203,3.707,4.006,5.399,6.046,4.09,4.898,3.569,5.833,4.017,4.054,8.609,4.861,4.095,3.838,11.038,3.7,4.044,3.361,6.93,3.413,3.915,8.329,7.952,3.707,3.517,4.307,3.528,5.388,3.567,5.915,6.614,4.263,3.818,5.458,12.369,8.035,4.625,8.319,3.897,3.706,3.219,3.64,3.666,3.84,4.958,5.12,3.721,12.66,5.617,8.348,4.054,5.109,3.889,3.98,5.246,5.315,3.176,3.515,12.783,6.125,4.091,4.317,4.625,6.927,4.136,7.644,4.027,4.804,10.641,5.301,3.526,3.778,7.636,3.92,6.079,5.574,3.454,3.504,4.177,3.523,4.8,7.108,6.79,7.66,3.829,4.316,6.824,5.883,4.156,5.151,7.312,6.377,9.627,3.91,4.746,3.742,3.642
"Liver Non-Tumor Tissue",6.755,4.877,3.492,3.485,4.513,5.254,3.707,5.031,3.318,4.788,3.75,3.549,8.359,3.217,3.588,3.958,10.37,4.699,4.173,3.29,6.71,3.48,3.591,9.143,7.607,3.881,3.455,3.967,3.492,5.017,3.503,4.596,6.855,3.634,4.013,5.746,13.051,7.47,4.822,7.868,3.319,3.517,3.864,3.508,3.895,3.451,4.267,4.304,4.302,12.724,4.981,8.589,5.196,4.722,3.665,3.687,5.19,4.676,3.264,3.529,12.402,6.519,4.289,3.667,4.376,6.825,6.213,7.591,4.04,4.439,10.607,4.671,3.411,5.176,6.86,5.495,6.269,5.57,3.359,3.489,3.695,3.469,4.541,7.135,6.566,7.439,3.458,3.778,6.689,5.94,3.578,4.526,7.713,5.788,9.488,5.784,5.292,3.346,3.573
"Liver Tumor Tissue",5.257,3.22,3.935,3.863,4.963,5.484,3.981,4.975,3.063,4.226,4.031,3.742,8.699,3.57,3.89,5.45,9.429,3.876,3.923,3.737,6.585,3.466,3.495,7.87,7.669,3.528,3.391,3.95,3.338,5.477,3.775,5.983,8.12,3.84,3.824,5.809,13.297,7.608,4.83,6.691,3.76,3.791,3.678,3.427,3.637,3.79,4.411,5.053,3.529,12.902,4.019,7.482,4.345,4.621,3.666,3.825,4.918,4.456,3.269,3.716,12.823,6.362,4.066,3.743,5.161,7.408,4.42,8.1,4.372,4.06,10.367,5.498,3.505,4.659,6.161,4.399,5.881,5.489,3.16,3.219,4.514,3.182,4.498,7.948,7.064,7.093,3.577,3.626,6.469,6.122,3.749,4.132,7.889,6.502,10.089,8.411,4.107,3.162,3.77
"Liver Tumor Tissue",7.17,3.089,4.007,3.274,6.36,5.076,3.619,4.373,3.093,4.297,4.05,3.403,9.383,3.905,3.595,4.026,6.526,3.467,3.704,3.313,7.52,3.815,3.357,9.793,7.148,3.216,3.463,3.74,5.773,5.087,3.238,7.464,8.313,3.711,3.786,7.13,11.444,7.294,5.866,7.237,3.446,3.552,3.881,3.516,3.316,3.352,4.682,4.495,3.409,10.296,5.334,7.138,3.579,4.426,3.418,3.223,5.19,4.703,3.233,3.296,10.921,5.765,3.749,3.532,5.362,7.619,4.142,9.248,3.914,4.006,12.183,5.432,10.887,4.094,6.006,4.503,5.601,6.21,3.308,3.306,3.765,3.172,4.201,7.549,7.405,6.525,3.487,5.15,6.287,6.577,3.95,5.145,7.675,5.545,9.933,7.742,4.056,3.213,3.095
"Liver Non-Tumor Tissue",7.163,4.003,3.693,3.306,5.136,5.568,3.597,5.118,3.457,5.71,3.455,4.256,7.728,4.318,3.91,3.98,10.622,3.949,4.485,3.699,6.477,3.401,3.483,8.313,7.188,4.993,3.42,4.232,3.218,4.572,3.352,5.377,6.738,4.031,4.03,4.687,13.118,7.568,4.514,7.829,3.94,3.373,3.357,3.987,3.316,3.727,4.368,4.251,3.867,12.077,4.769,8.213,4.706,4.56,3.471,3.638,5.265,4.437,3.385,3.337,12.697,5.839,4.23,3.368,4.41,6.753,3.65,6.694,4.331,4.175,10.503,5.309,3.315,5.281,7.4,4.165,5.619,5.714,3.573,3.571,3.851,3.221,4.756,7.618,6.375,7.124,3.962,3.818,6.523,4.605,4.269,4.59,6.712,6.164,9.373,4.061,4.052,3.875,3.604
